la	lb
abid1235	abee1242
adio1239	abee1242
akab1249	akab1248
akaj1239	akac1240
akak1253	akak1252
akar1243	akab1249
akar1243	akak1253
akol1237	aigh1235
akpa1238	agat1236
akpe1248	ahan1244
akpo1243	ahwa1235
akun1241	aika1237
alac1240	alac1239
alag1242	akee1238
alco1235	alac1244
alge1239	alge1235
amba1269	abuu1241
amha1245	afar1241
anam1248	anam1247
anda1280	akak1251
ande1247	alya1239
ando1255	achu1248
ando1256	ando1254
anem1249	amar1272
anga1293	anga1292
anga1294	anga1292
ango1254	aman1265
anii1245	akas1242
anti1242	anse1238
apal1255	akol1237
apma1241	amba1269
apuc1241	akab1248
apuc1241	akak1251
arab1267	anta1253
arab1268	abis1238
araz1236	amar1274
arch1244	akhv1239
arge1236	abip1241
arha1237	ajie1238
arho1237	arha1237
arig1246	akpe1248
arik1264	amun1246
arit1239	alng1239
arua1261	arik1265
assa1263	amri1238
asum1237	amba1266
atak1252	alab1237
atem1241	aiom1240
atem1241	anor1241
atsu1245	achu1247
atti1239	anyi1245
aura1243	aman1266
avau1237	akol1237
awak1250	auyo1240
awiy1238	awap1236
awun1245	amal1242
awut1241	ahan1243
awut1241	akan1250
ayer1245	akpe1248
ayiz1244	awuu1235
ayut1236	acat1239
ayuu1242	akpo1243
azhe1235	axiy1235
baaz1234	akum1238
baba1266	awin1248
bael1237	baeg1237
baga1273	baga1272
baga1275	baga1270
baga1275	baga1272
bago1245	akas1242
bagu1251	airo1242
bagv1239	akhv1239
baib1251	aman1265
baib1251	auwe1239
baka1273	akoo1248
baka1274	avok1242
bala1315	andi1257
bali1279	bali1278
balo1264	aton1242
bama1251	bafa1249
bamb1265	bafa1249
bamb1266	bafu1246
bamb1270	aral1243
bamu1253	bamb1265
bamu1254	awin1248
bamu1254	bafa1249
bamu1254	bame1260
bamu1256	baba1264
bamu1256	bama1251
bana1292	apma1241
band1340	bain1259
band1343	band1342
bang1353	bang1345
bang1368	andi1257
bank1256	bafa1247
bann1247	asko1238
bara1378	abom1238
bari1286	amar1272
baro1252	bafa1247
baro1252	bako1250
barr1251	ango1257
barz1241	anci1244
basa1282	agat1236
basa1284	bako1249
bash1263	aves1237
basq1248	arag1245
bass1258	bady1239
bass1260	akoo1248
bata1289	bata1288
bata1290	bata1289
bata1291	bata1290
bata1294	bata1288
bata1294	bata1292
bata1294	bata1293
bata1297	amba1267
bata1298	amga1235
batu1255	abon1238
batu1260	baho1237
batu1260	bang1368
bauc1238	basa1280
bauc1238	basa1281
bauu1244	amel1241
bauw1240	anem1248
bauz1241	bara1375
bayo1255	bain1261
bayo1255	band1340
bayo1260	awbo1238
bebe1252	aigh1235
bebi1242	bebe1248
bedo1237	argu1237
beez1238	baaz1234
befa1241	aghe1239
begb1241	ashe1269
bekw1242	bang1347
bemb1257	aush1241
bena1264	abag1245
bena1264	alek1238
beng1239	bali1278
beng1239	bali1279
bent1238	bank1259
beny1237	bang1365
bera1261	baba1273
bera1262	basa1286
beso1237	bada1261
beti1248	abur1243
bhad1241	bate1261
bhay1238	aerr1238
bhoj1244	angi1238
bhun1242	asur1254
biaf1240	bala1301
biao1256	biao1253
bier1244	baki1244
biky1238	bebe1250
bilb1241	amel1241
bile1244	bali1245
bimo1239	anuf1239
bina1275	bauw1240
bina1277	aeka1244
bino1237	bana1288
biri1259	bauz1241
birk1242	bert1249
birr1240	bela1256
blaf1238	aram1253
bobo1254	beng1287
bobo1255	batu1260
bobo1255	boan1243
bodo1272	baii1251
bodo1272	birr1240
bofi1238	band1348
boga1247	bimi1240
bogh1241	bada1258
bogu1241	baka1274
bogu1241	bang1345
boka1249	apat1240
boka1249	bang1369
bokh1237	anip1235
boko1261	band1348
boko1267	baat1238
bola1250	bebe1252
bolo1262	balo1261
bomm1240	bomk1234
bomu1247	bolo1266
bomw1238	bang1347
bond1248	anat1248
bone1255	beta1253
bong1285	bela1255
bong1287	anus1237
bonj1234	bomi1238
bonk1243	bafa1247
bonk1243	baka1273
bopa1235	amto1250
borg1235	boko1266
borg1235	boko1267
boro1282	baka1277
boro1283	anim1239
bosn1248	abuu1241
bosn1248	bore1247
boto1242	aben1249
bouy1240	boly1239
boza1238	bomb1261
boza1238	bomb1262
brag1240	amol1235
brag1240	aruo1240
braz1236	avac1239
brok1247	balt1258
brun1245	brun1242
buen1244	barb1263
bugi1244	bent1237
bujh1238	bote1238
buka1257	biat1246
buki1249	boik1241
bukw1238	beez1238
bulg1262	bulg1240
buli1254	biss1248
bulo1242	bude1236
bulu1253	bola1250
bumt1240	brok1249
buna1276	auhe1237
buna1277	ango1255
bunn1240	biwa1243
bunu1267	amis1246
bura1276	awer1241
burd1238	bayu1240
burm1263	aulu1238
burm1263	axam1237
buru1299	abon1238
buru1299	ambo1249
buru1304	bolo1268
buru1306	boro1279
buru1306	buga1250
busa1255	baha1257
busu1244	bish1246
buta1242	bilu1244
butu1244	agus1235
buyu1239	bemb1255
bwaa1238	asoa1238
bwat1240	arho1237
bwek1238	brek1238
bwen1239	aulu1238
bwil1245	bemb1257
byep1241	bebi1242
cabe1245	brib1243
cabi1241	bara1380
caij1234	anyi1247
caka1240	beba1238
cakc1235	achi1256
cala1258	agut1237
call1235	boli1236
cama1250	alab1246
camp1262	bugi1244
cams1241	awac1239
cana1262	cana1260
cand1248	ando1255
caqu1242	asha1243
cara1271	anse1238
cari1276	cari1275
casi1235	arta1239
casu1237	atoh1238
cata1241	arag1245
cata1286	amer1248
cebu1242	binu1244
cent1992	bulo1242
cent2009	buna1273
cent2041	barc1235
cent2050	baba1273
cent2058	baet1237
cent2087	cama1250
cent2090	agut1237
cent2091	broo1239
cent2092	bong1289
cent2118	aghu1255
cent2118	asue1235
cent2127	aleu1260
cent2133	cent2132
cent2142	boli1236
cent2144	atzi1235
cent2150	ango1257
cent2150	beto1236
cent2312	batu1255
chac1249	atac1235
chac1249	awac1239
chac1250	agua1253
chac1251	cavi1250
chai1253	akaw1239
chal1269	adel1244
cham1307	bhat1263
cham1309	bagv1239
cham1312	caro1242
cham1313	bisi1244
cham1318	capa1241
chan1309	balt1258
chan1324	brib1243
char1240	chan1296
char1269	bask1236
chau1258	carn1240
chay1248	chac1250
chec1245	boht1238
chec1245	botl1242
chee1238	atsa1241
chek1238	blab1237
chen1266	alge1235
cher1273	cata1286
ches1238	alop1235
chha1249	bhat1265
chhi1245	bant1281
chhi1245	belh1239
chhu1238	chhi1245
chib1270	anti1242
chic1271	agua1252
chig1239	cent2133
chil1264	alle1238
chil1275	buru1296
chim1302	cana1260
chim1309	arhu1242
chin1272	babi1235
chin1272	carr1249
chip1262	cent2142
chiq1249	caja1239
chir1286	ache1246
chir1294	cavi1250
chit1248	bilo1248
chit1274	bote1238
chit1275	asho1236
choc1275	chal1267
choc1276	chic1270
chok1243	chir1283
chol1284	cash1251
chru1239	cacg1235
chuk1270	caml1239
chur1257	balk1252
chur1257	bulg1262
chur1258	bhad1241
chur1258	cham1307
ciac1237	buso1238
cici1237	baan1242
cigb1235	ajab1235
cigb1235	ayiz1245
cind1241	asun1235
cish1238	busa1253
cita1245	bayo1260
clel1238	cici1237
coat1241	ayau1235
coat1241	chiq1250
coat1244	ayoq1235
coer1236	chib1270
cogu1240	arhu1242
coll1240	cent2053
colo1249	cara1271
colo1249	coer1236
colo1256	cald1236
colo1256	chac1249
coma1245	chic1270
come1251	coah1252
coos1249	alse1251
copa1236	chim1300
coqu1236	chin1286
corn1251	bret1244
cost1249	cabe1245
coto1248	come1251
cree1270	bilo1248
creo1235	araw1276
creo1235	berb1259
croa1245	bosn1245
croa1245	croa1242
crow1244	arap1274
crow1244	chey1247
cruz1243	barb1263
cuba1235	baha1260
cuba1236	bass1259
cuba1236	cish1238
cuit1236	coat1240
culi1244	cash1253
cull1235	caja1238
cull1235	coro1247
cuma1240	chai1253
cung1238	bumm1238
cunn1236	arem1240
cupe1243	cahu1264
curr1243	arap1275
cuvo1236	buwa1243
cuya1240	chiq1250
cuyo1237	bata1301
cuyo1237	cent2090
cypr1248	capp1239
czec1258	aust1252
czec1258	czec1253
daai1236	chin1478
daai1236	chit1275
daak1235	bara1371
daba1260	boon1242
dagb1248	bagi1244
daha1245	awee1242
dair1239	afit1238
dakp1242	brok1248
dalm1243	bosn1245
damu1236	apat1240
damu1236	bori1243
dand1238	bhat1265
dang1260	awad1243
dano1240	biyo1244
daon1243	auwe1239
dard1243	bidi1241
darf1239	bayg1239
darf1239	birk1242
dari1249	cent1973
darl1243	aust1271
darm1243	byan1241
darm1243	chau1259
daro1239	cent2101
dato1239	alag1248
daur1238	chin1476
daww1239	arap1275
dayi1244	anin1240
dayy1236	bedj1245
dege1246	abua1244
dege1248	cent2127
degg1238	boun1243
dehw1238	brah1256
delo1240	akeb1238
delo1240	anim1239
delo1240	chal1269
demm1245	dama1272
dend1242	boma1246
deno1239	bure1242
deny1238	boky1238
deor1238	apat1240
dera1245	aman1265
dera1248	bura1292
dezf1238	bakh1245
dhai1238	bond1247
dhal1245	burd1238
dhan1264	bhil1251
dhan1264	chod1238
dhan1265	chep1245
dhao1237	dela1251
dhar1247	bayu1240
dhod1238	chod1238
dhun1238	baur1251
dhuw1249	dayi1244
diba1242	atam1240
dibo1245	balo1261
dibo1245	bomi1238
dibo1245	bong1284
dica1235	cent2084
dido1241	bats1242
diji1241	cent2045
dill1242	amas1236
dima1252	anuk1239
dimb1238	bafi1243
dimi1244	barg1252
diod1237	aree1239
dira1238	adny1235
dira1238	arab1267
dira1238	dier1241
diuw1238	bayo1260
djam1256	dhan1270
djaw1238	bard1255
djin1251	alaw1244
djin1253	bura1267
doga1238	anuk1239
dogo1295	dogo1294
dogr1250	bhat1263
dogu1235	buno1241
doko1243	bakp1238
doma1260	buru1296
domp1238	degg1238
dond1249	boan1243
dond1249	damp1237
dong1285	baim1244
dong1290	beek1238
dong1294	didi1258
donn1238	ampa1238
donn1238	buno1241
doon1238	beem1239
dora1242	bugl1243
dori1246	area1240
doso1239	dibi1240
dree1234	aram1253
dual1243	bank1256
duan1242	baba1267
duau1237	buna1276
duau1237	bwan1241
dubl1239	dhod1238
dudu1240	anja1238
dugu1248	diii1241
duit1239	acha1250
duit1239	barr1251
duit1239	coer1236
duke1237	baba1268
duke1237	bilu1245
dulb1238	ajaw1236
dulb1238	dugu1249
duna1248	boga1247
dung1251	dubl1239
dung1252	belh1239
dura1244	bujh1238
duri1243	biga1238
duru1236	bhat1265
duru1236	bodo1266
duru1249	chon1287
duru1249	digo1243
dusu1271	buki1247
dutc1256	dutc1253
duup1238	dugu1248
duvl1242	dout1240
dwan1238	chum1261
dyug1238	broo1238
dyug1238	dyab1238
dyul1238	cerm1238
dzal1238	choc1275
dzan1238	bamw1238
dzan1238	bomb1262
dzao1238	biao1254
dzao1238	biao1256
dzao1238	daga1277
dzod1238	abon1238
dzod1238	bebe1250
east2328	chuv1255
east2330	chia1237
east2332	chut1247
east2333	biha1246
east2340	dand1238
east2345	dura1244
east2349	ache1244
east2349	azhe1235
east2352	chuk1270
east2352	east2347
east2357	east2352
east2363	buna1273
east2363	cent2009
east2370	caom1238
east2372	cent2013
east2379	aust1253
east2387	bomm1240
east2390	defi1235
east2398	dogo1294
east2398	dyul1238
east2403	baan1242
east2409	buku1249
east2414	daho1238
east2443	baet1237
east2462	cent2072
east2482	alan1249
east2485	brun1245
east2486	cent2098
east2542	algo1255
east2551	areq1237
east2551	ayac1239
east2551	cusc1236
east2555	ayor1240
east2563	chru1239
east2690	copt1239
ebir1243	basa1282
ebri1238	atti1239
ecua1243	chim1302
ecua1243	colo1256
edei1244	edec1238
edei1245	edec1238
edei1246	bago1245
eden1244	edei1245
edol1239	beam1240
eeee1240	chad1240
eggo1239	akee1238
egyp1238	copt1239
egyp1246	copt1239
egyp1253	copt1239
ehue1238	akpe1248
eiti1240	amol1235
ekar1243	auye1238
ekii1241	bakp1238
ekit1246	anaa1238
elal1235	asun1236
elem1253	baan1241
elke1240	auuu1241
eloy1241	agat1236
else1239	awyi1241
eluu1241	andr1248
emab1235	baha1256
eman1238	balo1264
eman1238	caka1240
embe1259	cara1271
embe1260	anti1242
embe1260	bord1248
embe1261	embe1259
embe1262	embe1259
embu1241	chuk1274
empl1237	east2462
emum1240	dubu1240
enap1235	chai1253
enga1252	anda1283
enga1252	anga1293
enge1239	ekpe1253
engg1245	coco1260
ennn1243	cent2009
ennn1243	east2363
enre1239	dakk1238
enre1239	duri1242
enwa1245	efai1241
enya1247	bang1350
epen1239	embe1261
epie1238	enge1239
erav1244	east2516
erit1239	burm1264
erok1237	baha1258
erok1237	bedo1237
eruw1238	epie1238
eryu1239	cent2004
erzy1239	chuv1255
esee1247	bari1290
esee1248	arao1248
esee1248	chac1251
esht1238	alvi1241
esto1258	esto1238
eteb1238	ebug1241
eteb1238	ekit1246
ethi1238	argo1244
eton1253	bulu1251
eton1253	elip1238
even1260	dolg1241
ewag1241	aeka1244
ewag1241	esee1247
ewee1241	adan1248
ewon1239	bebe1248
ewon1239	eton1253
eyak1241	ahte1237
fada1250	ango1258
faga1239	aros1241
faga1239	baur1252
fair1238	dica1235
faiw1243	aeky1238
fala1241	extr1243
fala1243	biet1238
famm1241	bais1242
fang1246	bulu1251
fang1248	cung1238
fani1244	buaa1245
fani1244	disa1239
femb1238	boga1247
fern1234	bube1242
fero1244	ajas1235
fiji1243	fiji1242
fili1244	capi1239
fina1242	amga1235
fina1242	bala1310
finn1310	finl1235
finn1318	finl1235
fira1238	bero1242
fira1238	eten1239
fiwa1240	erav1244
flin1247	barr1247
foau1240	abin1243
